"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","2912","1472","1","1","U.S. Senator","","1","(R) CURTIS, Ron","","C","142","24","153"
"01-01","","1","2912","1472","1","1","U.S. Senator","","2","(D) HIRONO, Mazie K.","","C","541","86","500"
"01-01","","1","2912","1472","1","3","U.S. Representative, Dist II","","8","(D) GABBARD, Tulsi","","C","574","89","548"
"01-01","","1","2912","1472","1","3","U.S. Representative, Dist II","","9","(R) EVANS, Brian","","C","98","18","101"
"01-01","","1","2912","1472","1","4","Governor and Lieutenant Governor","","10","(G) BREWER / ING","","C","14","2","19"
"01-01","","1","2912","1472","1","4","Governor and Lieutenant Governor","","11","(R) TUPOLA / KERNS","","C","208","33","239"
"01-01","","1","2912","1472","1","4","Governor and Lieutenant Governor","","12","(N) TERUYA / ROBOTTI","","C","9","2","0"
"01-01","","1","2912","1472","1","4","Governor and Lieutenant Governor","","13","(D) IGE / GREEN","","C","448","74","402"
"01-01","","1","2912","1472","1","32","Maui Resident Trustee","","69","KAPU, Ke'eaumoku","","C","133","28","160"
"01-01","","1","2912","1472","1","32","Maui Resident Trustee","","70","LINDSEY, Carmen Hulu","","C","263","49","282"
"01-01","","1","2912","1472","1","33","Oahu Resident Trustee","","71","KIA'AINA, Esther","","C","136","38","171"
"01-01","","1","2912","1472","1","33","Oahu Resident Trustee","","72","AKAKA, Kalei","","C","297","43","271"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","73","AHU ISA, Lei (Leina'ala)","","C","151","32","153"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","74","AKANA, Rowena Noelani","","C","192","34","201"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","75","LEE, Brendon Kalei'aina","","C","207","31","165"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","76","AILA, William J., Jr.","","C","146","35","121"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","77","HANOHANO, Faye (Pua)","","C","253","44","231"
"01-01","","1","2912","1472","1","34","At-Large Trustee","","78","WAIHEE, John D., IV","","C","326","41","269"
"01-01","","1","2912","1472","1","50","Constitutional Convention","","121","YES","","C","171","31","172"
"01-01","","1","2912","1472","1","50","Constitutional Convention","","122","NO","","C","478","75","444"
"01-01","","1","2912","1472","1","51","CON. AMEND.: Public Education and Investment Real Property","","123","YES","","C","177","27","204"
"01-01","","1","2912","1472","1","51","CON. AMEND.: Public Education and Investment Real Property","","124","NO","","C","454","70","346"
"01-01","","1","2912","1472","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","125","YES","","C","495","87","465"
"01-01","","1","2912","1472","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","126","NO","","C","134","19","136"
"01-01","","1","2912","1472","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","127","YES","","C","482","89","449"
"01-01","","1","2912","1472","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","128","NO","","C","139","15","150"
"01-02","","2","940","519","1","1","U.S. Senator","","1","(R) CURTIS, Ron","","C","65","3","54"
"01-02","","2","940","519","1","1","U.S. Senator","","2","(D) HIRONO, Mazie K.","","C","185","28","174"
"01-02","","2","940","519","1","3","U.S. Representative, Dist II","","8","(D) GABBARD, Tulsi","","C","202","32","175"
"01-02","","2","940","519","1","3","U.S. Representative, Dist II","","9","(R) EVANS, Brian","","C","42","1","46"
"01-02","","2","940","519","1","4","Governor and Lieutenant Governor","","10","(G) BREWER / ING","","C","7","3","9"
"01-02","","2","940","519","1","4","Governor and Lieutenant Governor","","11","(R) TUPOLA / KERNS","","C","71","4","74"
"01-02","","2","940","519","1","4","Governor and Lieutenant Governor","","12","(N) TERUYA / ROBOTTI","","C","4","0","1"
"01-02","","2","940","519","1","4","Governor and Lieutenant Governor","","13","(D) IGE / GREEN","","C","168","26","145"
"01-02","","2","940","519","1","32","Maui Resident Trustee","","69","KAPU, Ke'eaumoku","","C","59","9","52"
"01-02","","2","940","519","1","32","Maui Resident Trustee","","70","LINDSEY, Carmen Hulu","","C","74","10","88"
"01-02","","2","940","519","1","33","Oahu Resident Trustee","","71","KIA'AINA, Esther","","C","55","9","63"
"01-02","","2","940","519","1","33","Oahu Resident Trustee","","72","AKAKA, Kalei","","C","88","10","90"
"01-02","","2","940","519","1","34","At-Large Trustee","","73","AHU ISA, Lei (Leina'ala)","","C","42","8","50"
"01-02","","2","940","519","1","34","At-Large Trustee","","74","AKANA, Rowena Noelani","","C","73","9","51"
"01-02","","2","940","519","1","34","At-Large Trustee","","75","LEE, Brendon Kalei'aina","","C","56","10","44"
"01-02","","2","940","519","1","34","At-Large Trustee","","76","AILA, William J., Jr.","","C","54","15","47"
"01-02","","2","940","519","1","34","At-Large Trustee","","77","HANOHANO, Faye (Pua)","","C","80","7","76"
"01-02","","2","940","519","1","34","At-Large Trustee","","78","WAIHEE, John D., IV","","C","98","13","84"
"01-02","","2","940","519","1","50","Constitutional Convention","","121","YES","","C","61","9","46"
"01-02","","2","940","519","1","50","Constitutional Convention","","122","NO","","C","173","22","171"
"01-02","","2","940","519","1","51","CON. AMEND.: Public Education and Investment Real Property","","123","YES","","C","78","10","87"
"01-02","","2","940","519","1","51","CON. AMEND.: Public Education and Investment Real Property","","124","NO","","C","153","17","128"
"01-02","","2","940","519","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","125","YES","","C","174","25","170"
"01-02","","2","940","519","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","126","NO","","C","52","4","42"
"01-02","","2","940","519","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","127","YES","","C","167","26","169"
"01-02","","2","940","519","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","128","NO","","C","59","3","41"
"01-03","","3","1042","575","1","1","U.S. Senator","","1","(R) CURTIS, Ron","","C","55","7","49"
"01-03","","3","1042","575","1","1","U.S. Senator","","2","(D) HIRONO, Mazie K.","","C","227","31","194"
"01-03","","3","1042","575","1","3","U.S. Representative, Dist II","","8","(D) GABBARD, Tulsi","","C","227","31","192"
"01-03","","3","1042","575","1","3","U.S. Representative, Dist II","","9","(R) EVANS, Brian","","C","45","7","47"
"01-03","","3","1042","575","1","4","Governor and Lieutenant Governor","","10","(G) BREWER / ING","","C","10","3","10"
"01-03","","3","1042","575","1","4","Governor and Lieutenant Governor","","11","(R) TUPOLA / KERNS","","C","71","9","74"
"01-03","","3","1042","575","1","4","Governor and Lieutenant Governor","","12","(N) TERUYA / ROBOTTI","","C","2","0","1"
"01-03","","3","1042","575","1","4","Governor and Lieutenant Governor","","13","(D) IGE / GREEN","","C","197","25","166"
"01-03","","3","1042","575","1","32","Maui Resident Trustee","","69","KAPU, Ke'eaumoku","","C","54","10","58"
"01-03","","3","1042","575","1","32","Maui Resident Trustee","","70","LINDSEY, Carmen Hulu","","C","105","15","95"
"01-03","","3","1042","575","1","33","Oahu Resident Trustee","","71","KIA'AINA, Esther","","C","69","9","71"
"01-03","","3","1042","575","1","33","Oahu Resident Trustee","","72","AKAKA, Kalei","","C","96","16","89"
"01-03","","3","1042","575","1","34","At-Large Trustee","","73","AHU ISA, Lei (Leina'ala)","","C","55","12","63"
"01-03","","3","1042","575","1","34","At-Large Trustee","","74","AKANA, Rowena Noelani","","C","88","13","85"
"01-03","","3","1042","575","1","34","At-Large Trustee","","75","LEE, Brendon Kalei'aina","","C","76","10","62"
"01-03","","3","1042","575","1","34","At-Large Trustee","","76","AILA, William J., Jr.","","C","70","8","38"
"01-03","","3","1042","575","1","34","At-Large Trustee","","77","HANOHANO, Faye (Pua)","","C","89","13","79"
"01-03","","3","1042","575","1","34","At-Large Trustee","","78","WAIHEE, John D., IV","","C","129","13","76"
"01-03","","3","1042","575","1","50","Constitutional Convention","","121","YES","","C","62","13","81"
"01-03","","3","1042","575","1","50","Constitutional Convention","","122","NO","","C","197","22","155"
"01-03","","3","1042","575","1","51","CON. AMEND.: Public Education and Investment Real Property","","123","YES","","C","70","13","102"
"01-03","","3","1042","575","1","51","CON. AMEND.: Public Education and Investment Real Property","","124","NO","","C","193","21","128"
"01-03","","3","1042","575","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","125","YES","","C","217","30","199"
"01-03","","3","1042","575","1","52","HAWAI'I: Public Notice and Voting Requirements for the Salary Commission","","126","NO","","C","46","7","38"
"01-03","","3","1042","575","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","127","YES","","C","213","29","190"
"01-03","","3","1042","575","1","53","HAWAI'I: Fiscal Impact Statements for Amendments to the Hawai'i County Charter","","128","NO","","C","44","8","42"
"01-04","","4","324","192","1","1","U.S. Senator","","1","(R) CURTIS, Ron","","C","17","5","21"
"01-04","","4","324","192","1","1","U.S. Senator","","2","(D) HIRONO, Mazie K.","","C","64","14","69"
"01-04","","4","324","192","1","3","U.S. Representative, Dist II","","8","(D) GABBARD, Tulsi","","C","70","15","66"
"01-04","","4","324","192","1","3","U.S. Representative, Dist II","","9","(R) EVANS, Brian","","C","13","3","21"
"01-04","","4","324","192","1","4","Governor and Lieutenant Governor","","10","(G) BREWER / ING","","C","6","0","1"
"01-04","","4","324","192","1","4","Governor and Lieutenant Governor","","11","(R) TUPOLA / KERNS","","C","23","3","26"
"01-04","","4","324","192","1","4","Governor and Lieutenant Governor","","12","(N) TERUYA / ROBOTTI","","C","0","0","0"
"01-04","","4","324","192","1","4","Governor and Lieutenant Governor","","13","(D) IGE / GREEN","","C","53","16","62"
"01-04","","4","324","192","1","32","Maui Resident Trustee","","69","KAPU, Ke'eaumoku","","C","19","4","20"
"01-04","","4","324","192","1","32","Maui Resident Trustee","","70","LINDSEY, Carmen Hulu","","C","24","7","29"
"01-04","","4","324","192","1","33","Oahu Resident Trustee","","71","KIA'AINA, Esther","","C","23","4","25"
"01-04","","4","324","192","1","33","Oahu Resident Trustee","","72","AKAKA, Kalei","","C","24","9","25"
"01-04","","4","324","192","1","34","At-Large Trustee","","73","AHU ISA, Lei (Leina'ala)","","C","15","6","19"
"01-04","","4","324","192","1","34","At-Large Trustee","","74","AKANA, Rowena Noelani","","C","22","4","23"
"01-04","","4","324","192","1","34","At-Large Trustee","","75","LEE, Brendon Kalei'aina","","C","25","5","28"
"01-04","","4","324","192","1","34","At-Large Trustee","","76","AILA, William J., Jr.","","C","25","8","17"
"01-04","","4","324","192","1","34","At-Large Trustee","","77","HANOHANO, Faye (Pua)","","C","22","4","19"
"01-04","","4","324","192","1","34","At-Large Trustee","","78","WAIHEE, John D., IV","","C","19","4","21"
"01-04","","4","324","192","1","50","Constitutional Convention","","121","YES","","C","26","4","32"
"01-04","","4","324","192","1","50","Constitutional Convention","","122","NO","","C","51","13","54"
"01-04","","4","324","192","1","51","CON. AMEND.: Public Education and Investment Real Property","","123","YES","","C","21","3","26"
"01-04","","4","324","192","1","51","CON. AMEND.: Public Education and Investment Real Property","","124","NO","","C","51","12","48"
