elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,1,"CHRIS POWELL",LIB,1721,2432,36615,40768,
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,2,"KEVIN STITT",REP,32208,55349,556430,643987,
11/6/2018,"FEDERAL, STATE AND COUNTY",10001,"FOR GOVERNOR",1951,1951,3,"DREW EDMONDSON",DEM,34037,49172,417221,500430,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,1,"MATT PINNELL",REP,36773,62475,629299,728547,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,2,"ANASTASIA A. PITTMAN",DEM,28600,41179,336561,406340,
11/6/2018,"FEDERAL, STATE AND COUNTY",10002,"FOR LIEUTENANT GOVERNOR",1951,1951,3,"IVAN HOLMES",IND,2087,2773,37260,42120,
11/6/2018,"FEDERAL, STATE AND COUNTY",10003,"FOR STATE AUDITOR AND INSPECTOR",1951,1951,1,"JOHN YEUTTER",LIB,15543,24356,230117,270016,
11/6/2018,"FEDERAL, STATE AND COUNTY",10003,"FOR STATE AUDITOR AND INSPECTOR",1951,1951,2,"CINDY BYRD",REP,44206,72053,701818,818077,
11/6/2018,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",1951,1951,1,"MIKE HUNTER",REP,37881,64055,648146,750082,
11/6/2018,"FEDERAL, STATE AND COUNTY",10004,"FOR ATTORNEY GENERAL",1951,1951,2,"MARK MYLES",DEM,29293,42025,349894,421212,
11/6/2018,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",1951,1951,1,"RANDY McDANIEL",REP,40230,67514,671186,778930,
11/6/2018,"FEDERAL, STATE AND COUNTY",10005,"FOR STATE TREASURER",1951,1951,2,"CHARLES de COUNE",IND,19794,29351,260030,309175,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,1,"JOY HOFMEISTER",REP,37106,60841,588892,686839,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,2,"JOHN COX",DEM,26225,39152,331080,396457,
11/6/2018,"FEDERAL, STATE AND COUNTY",10006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",1951,1951,3,"LARRY HUFF",IND,3938,6228,80241,90407,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,1,"LESLIE OSBORN",REP,38128,62233,616748,717109,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,2,"FRED DORRELL",DEM,26181,39511,323133,388825,
11/6/2018,"FEDERAL, STATE AND COUNTY",10007,"FOR COMMISSIONER OF LABOR",1951,1951,3,"BRANDT DISMUKES",IND,2415,3630,49701,55746,
11/6/2018,"FEDERAL, STATE AND COUNTY",10008,"FOR INSURANCE COMMISSIONER",1951,1951,1,"GLEN MULREADY",REP,36479,61616,621328,719423,
11/6/2018,"FEDERAL, STATE AND COUNTY",10008,"FOR INSURANCE COMMISSIONER",1951,1951,2,"KIMBERLY FOBBS",DEM,29962,43708,367752,441422,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,1,"BOB ANTHONY",REP,36769,61143,602731,700643,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,2,"ASHLEY NICOLE McCRAY",DEM,27045,40339,332801,400185,
11/6/2018,"FEDERAL, STATE AND COUNTY",10009,"FOR CORPORATION COMMISSIONER",1951,1951,3,"JACKIE SHORT",IND,3224,4343,58637,66204,
